first_name,last_name,company_name,address,city,phone,aadhar,doctor,gender,disease,prescriptio roomno,
Delmy,Ahle,Wye Technologies Inc,65895 S 16th St,Providence,6607783533,776682439074,DR.Rajesh,female,lupus,hydroxychloroquine,103
Deeanna,Juhas,"Healy, George W Iv",14302 Pennsylvania Ave,Huntingdon Valley,9098483929,251000911986,DR.Apuroop,female,cancer,Abemaciclib,100
Blondell,Pugh,Alpenlite Inc,201 Hawk Ct,Providence,7663126483,315869890255,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Jamal,Vanausdal,"Hubbard, Bruce Esq",53075 Sw 152nd Ter #615,Monroe Township,8079167983,735157586584,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Cecily,Hollack,Arthur A Oliver & Son Inc,59 N Groesbeck Hwy,Austin,9160665049,600216663594,DR.RaviKumar,male,heart attack,Thrombolytics,105
Carmelina,Lindall,George Jessop Carter Jewelers,2664 Lewis Rd,Littleton,6033671037,40784946690,DR.RaviKumar,female,heart attack,Thrombolytics,106
Maurine,Yglesias,"Schultz, Thomas C Md",59 Shady Ln #53,Milwaukee,6155728391,978144256501,DR.Ramesh,male,cough&cold,Tessalon Perles,112
Tawna,Buvens,H H H Enterprises Inc,3305 Nabell Ave #679,New York,7106899480,202661515703,DR.Ramesh,female,asthma,Budesonide,110
Penney,Weight,Hawaiian King Hotel,18 Fountain St,Anchorage,8888155881,642800773281,DR.Ramesh,male,asthma,Budesonide,109
Elly,Morocco,Killion Industries,7 W 32nd St,Erie,8561597398,416915285065,DR.Ramesh,male,viralfever,ibuprofen,102
Ilene,Eroman,"Robinson, William J Esq",2853 S Central Expy,Glen Burnie,7665634434,69747623894,DR.Rajesh,female,lupus,hydroxychloroquine,103
Vallie,Mondella,Private Properties,74 W College St,Boise,9885536304,893835703168,DR.Apuroop,female,cancer,Abemaciclib,100
Kallie,Blackwood,Rowley Schlimgen Inc,701 S Harrison Rd,San Francisco,9039442742,222458025666,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Johnetta,Abdallah,Forging Specialties,1088 Pinehurst St,Chapel Hill,8821251602,557865889357,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Bobbye,Rhym,"Smits, Patricia Garity",30 W 80th St #1995,San Carlos,9880033129,940097354592,DR.RaviKumar,male,heart attack,Thrombolytics,105
Micaela,Rhymes,H Lee Leonard Attorney At Law,20932 Hedley St,Concord,8940403632,655205090476,DR.RaviKumar,female,heart attack,Thrombolytics,106
Tamar,Hoogland,A K Construction Co,2737 Pistorio Rd #9230,London,7898547510,471105190241,DR.Ramesh,male,cough&cold,Tessalon Perles,112
Moon,Parlato,"Ambelang, Jessica M Md",74989 Brandon St,Wellsville,6866991119,733004147207,DR.Ramesh,female,asthma,Budesonide,110
Laurel,Reitler,Q A Service,6 Kains Ave,Baltimore,6726417343,419533435305,DR.Ramesh,male,asthma,Budesonide,109
Delisa,Crupi,Wood & Whitacre Contractors,47565 W Grand Ave,Newark,9267966452,716346402115,DR.Ramesh,male,viralfever,ibuprofen,102
Viva,Toelkes,Mark Iv Press Ltd,4284 Dorigo Ln,Chicago,9157429375,164351862839,DR.Rajesh,female,lupus,hydroxychloroquine,103
Elza,Lipke,Museum Of Science & Industry,6794 Lake Dr E,Newark,7715223311,33400210931,DR.Apuroop,female,cancer,Abemaciclib,100
Devorah,Chickering,Garrison Ind,31 Douglas Blvd #950,Clovis,8442694606,584747152864,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Timothy,Mulqueen,Saronix Nymph Products,44 W 4th St,Staten Island,9616726582,634528332464,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Arlette,Honeywell,Smc Inc,11279 Loytan St,Jacksonville,6654953245,451746192265,DR.RaviKumar,male,heart attack,Thrombolytics,105
Dominque,Dickerson,E A I Electronic Assocs Inc,69 Marquette Ave,Hayward,6168356923,983381937460,DR.RaviKumar,female,heart attack,Thrombolytics,106
Lettie,Isenhower,"Conte, Christopher A Esq",70 W Main St,Beachwood,9018011388,94744940168,DR.Ramesh,male,cough&cold,Tessalon Perles,112
Myra,Munns,Anker Law Office,461 Prospect Pl #316,Euless,7618349704,145105862277,DR.Ramesh,female,asthma,Budesonide,110
Stephaine,Barfield,Beutelschies & Company,47154 Whipple Ave Nw,Gardena,7319282366,13602046076,DR.Ramesh,male,asthma,Budesonide,109
Lai,Gato,"Fligg, Kenneth I Jr",37 Alabama Ave,Evanston,7472193979,621748744137,DR.Ramesh,male,viralfever,ibuprofen,102
Stephen,Emigh,"Sharp, J Daniel Esq",3777 E Richmond St #900,Akron,7627737486,137623081045,DR.Rajesh,female,lupus,hydroxychloroquine,103
Tyra,Shields,"Assink, Anne H Esq",3 Fort Worth Ave,Philadelphia,8805872125,358099090957,DR.Apuroop,female,cancer,Abemaciclib,100
Tammara,Wardrip,Jewel My Shop Inc,4800 Black Horse Pike,Burlingame,6471155015,780773993279,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Cory,Gibes,Chinese Translation Resources,83649 W Belmont Ave,San Gabriel,6187052837,886330337499,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Danica,Bruschke,"Stevens, Charles T",840 15th Ave,Waco,6791892666,733174815452,DR.RaviKumar,male,heart attack,Thrombolytics,105
Wilda,Giguere,"Mclaughlin, Luther W Cpa",1747 Calle Amanecer #2,Anchorage,6224205429,848040454911,DR.RaviKumar,female,heart attack,Thrombolytics,106
Elvera,Benimadho,Tree Musketeers,99385 Charity St #840,San Jose,9786712947,711208258372,DR.Ramesh,male,cough&cold,Tessalon Perles,210
Carma,Vanheusen,Springfield Div Oh Edison Co,68556 Central Hwy,San Leandro,8474365314,995208260509,DR.Ramesh,female,asthma,Budesonide,105
Malinda,Hochard,Logan Memorial Hospital,55 Riverside Ave,Indianapolis,8260505551,332990887529,DR.Ramesh,male,asthma,Budesonide,106
Natalie,Fern,"Kelly, Charles G Esq",7140 University Ave,Rock Springs,6305321058,210814918938,DR.Ramesh,male,viralfever,ibuprofen,112
Lisha,Centini,Industrial Paper Shredders Inc,64 5th Ave #1153,Mc Lean,8912313138,962217570740,DR.Rajesh,female,lupus,hydroxychloroquine,110
Arlene,Klusman,Beck Horizon Builders,3 Secor Rd,New Orleans,6573389260,85261328859,DR.Apuroop,female,cancer,Abemaciclib,109
Alease,Buemi,Porto Cayo At Hawks Cay,4 Webbs Chapel Rd,Boulder,6305418239,739612239291,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Louisa,Cronauer,Pacific Grove Museum Ntrl Hist,524 Louisiana Ave Nw,San Leandro,9995437386,388784838202,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",103
Angella,Cetta,Bender & Hatley Pc,185 Blackstone Bldge,Honolulu,9277334559,951417699363,DR.RaviKumar,male,heart attack,Thrombolytics,100
Cyndy,Goldammer,Di Cristina J & Son,170 Wyoming Ave,Burnsville,9806634494,969119879384,DR.RaviKumar,female,heart attack,Thrombolytics,102
Rosio,Cork,Green Goddess,4 10th St W,High Point,6367413542,603154377806,DR.Ramesh,male,cough&cold,Tessalon Perles,210
Celeste,Korando,American Arts & Graphics,7 W Pinhook Rd,Lynbrook,6745051234,814966946237,DR.Ramesh,female,asthma,Budesonide,105
Twana,Felger,Opryland Hotel,1 Commerce Way,Portland,9664485913,46896342719,DR.Ramesh,male,asthma,Budesonide,106
Estrella,Samu,Marking Devices Pubg Co,64 Lakeview Ave,Beloit,7820438807,522316857621,DR.Ramesh,male,viralfever,ibuprofen,112
Donte,Kines,W Tc Industries Inc,3 Aspen St,Worcester,7611956549,312020900487,DR.Rajesh,female,lupus,hydroxychloroquine,110
Tiffiny,Steffensmeier,Whitehall Robbins Labs Divsn,32860 Sierra Rd,Miami,8181660326,158502196954,DR.Apuroop,female,cancer,Abemaciclib,109
Edna,Miceli,Sampler,555 Main St,Erie,7617504368,185415267515,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Sue,Kownacki,Juno Chefs Incorporated,2 Se 3rd Ave,Mesquite,8056678014,59888101518,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",103
Jesusa,Shin,"Carroccio, A Thomas Esq",2239 Shawnee Mission Pky,Tullahoma,7631702372,89639350789,DR.RaviKumar,male,heart attack,Thrombolytics,100
Rolland,Francescon,"Stanley, Richard L Esq",2726 Charcot Ave,Paterson,9662744009,873260667862,DR.RaviKumar,female,heart attack,Thrombolytics,102
Pamella,Schmierer,K Cs Cstm Mouldings Windows,5161 Dorsett Rd,Homestead,8420848759,490341654772,DR.Ramesh,male,cough&cold,Tessalon Perles,210
Glory,Kulzer,Comfort Inn,55892 Jacksonville Rd,Owings Mills,9008475574,564522973232,DR.Ramesh,female,asthma,Budesonide,105
Shawna,Palaspas,"Windsor, James L Esq",5 N Cleveland Massillon Rd,Thousand Oaks,8462724234,897752088461,DR.Ramesh,male,asthma,Budesonide,106
Brandon,Callaro,Jackson Shields Yeiser,7 Benton Dr,Honolulu,9343944366,34744875485,DR.Ramesh,male,viralfever,ibuprofen,112
Scarlet,Cartan,"Box, J Calvin Esq",9390 S Howell Ave,Albany,7519792208,927987848718,DR.Rajesh,female,lupus,hydroxychloroquine,110
Oretha,Menter,Custom Engineering Inc,8 County Center Dr #647,Boston,6025604826,508417503554,DR.Apuroop,female,cancer,Abemaciclib,109
Ty,Smith,Bresler Eitel Framg Gllry Ltd,4646 Kaahumanu St,Hackensack,9122938396,120199946613,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Xuan,Rochin,"Carol, Drake Sparks Esq",2 Monroe St,San Mateo,9240739955,722191790555,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",103
Lindsey,Dilello,Biltmore Investors Bank,52777 Leaders Heights Rd,Ontario,8049532579,98998656368,DR.RaviKumar,male,heart attack,Thrombolytics,100
Devora,Perez,Desco Equipment Corp,72868 Blackington Ave,Oakland,9893061524,908127289982,DR.RaviKumar,female,heart attack,Thrombolytics,102
Herman,Demesa,Merlin Electric Co,9 Norristown Rd,Troy,9054552777,434056617341,DR.Ramesh,male,cough&cold,Tessalon Perles,210
Rory,Papasergi,Bailey Cntl Co Div Babcock,83 County Road 437 #8581,Clarks Summit,6391783008,760267569553,DR.Ramesh,female,asthma,Budesonide,105
Talia,Riopelle,Ford Brothers Wholesale Inc,1 N Harlem Ave #9,Orange,8491757941,919691394365,DR.Ramesh,male,asthma,Budesonide,106
Van,Shire,Cambridge Inn,90131 J St,Pittstown,6163936667,447481840354,DR.Ramesh,male,viralfever,ibuprofen,112
Lucina,Lary,"Matricciani, Albert J Jr",8597 W National Ave,Cocoa,9359313017,719888429722,DR.Rajesh,female,lupus,hydroxychloroquine,110
Bok,Isaacs,Nelson Hawaiian Ltd,6 Gilson St,Bronx,8714287701,547069733651,DR.Apuroop,female,cancer,Abemaciclib,109
Rolande,Spickerman,Neland Travel Agency,65 W Maple Ave,Pearl City,6536034777,193283991647,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Howard,Paulas,"Asendorf, J Alan Esq",866 34th Ave,Denver,9649064448,1885811758,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",103
Kimbery,Madarang,"Silberman, Arthur L Esq",798 Lund Farm Way,Rockaway,6931831085,247554988946,DR.RaviKumar,male,heart attack,Thrombolytics,100
Thurman,Manno,Honey Bee Breeding Genetics &,9387 Charcot Ave,Absecon,9461733477,830305478322,DR.RaviKumar,female,heart attack,Thrombolytics,102
Becky,Mirafuentes,Wells Kravitz Schnitzer,30553 Washington Rd,Plainfield,6081617767,458820453159,DR.Ramesh,male,cough&cold,Tessalon Perles,210
Beatriz,Corrington,Prohab Rehabilitation Servs,481 W Lemon St,Middleboro,9391592759,510556117290,DR.Ramesh,female,asthma,Budesonide,105
Marti,Maybury,"Eldridge, Kristin K Esq",4 Warehouse Point Rd #7,Chicago,7809351321,132658982265,DR.Ramesh,male,asthma,Budesonide,106
Nieves,Gotter,"Vlahos, John J Esq",4940 Pulaski Park Dr,Portland,9999143589,431826735461,DR.Ramesh,male,viralfever,ibuprofen,112
Leatha,Hagele,Ninas Indian Grs & Videos,627 Walford Ave,Dallas,7770944308,28769442525,DR.Rajesh,female,lupus,hydroxychloroquine,110
Valentin,Klimek,"Schmid, Gayanne K Esq",137 Pioneer Way,Chicago,7093062245,132704000627,DR.Apuroop,female,cancer,Abemaciclib,109
Melissa,Wiklund,Moapa Valley Federal Credit Un,61 13 Stoneridge #835,Findlay,7559194964,750266766726,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Sheridan,Zane,Kentucky Tennessee Clay Co,2409 Alabama Rd,Riverside,6908556259,45284134523,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",103
Bulah,Padilla,Admiral Party Rentals & Sales,8927 Vandever Ave,Waco,6828241989,109758810682,DR.RaviKumar,male,heart attack,Thrombolytics,100
Audra,Kohnert,"Nelson, Karolyn King Esq",134 Lewis Rd,Nashville,8325687706,730317743335,DR.RaviKumar,female,heart attack,Thrombolytics,102
Daren,Weirather,Panasystems,9 N College Ave #3,Milwaukee,7811316848,413797446203,DR.Ramesh,male,cough&cold,Tessalon Perles,210
Fernanda,Jillson,"Shank, Edward L Esq",60480 Old Us Highway 51,Preston,7556755476,916007011669,DR.Ramesh,female,asthma,Budesonide,105
Gearldine,Gellinger,Megibow & Edwards,4 Bloomfield Ave,Irving,8930864264,619856742363,DR.Ramesh,male,asthma,Budesonide,106
Chau,Kitzman,"Benoff, Edward Esq",429 Tiger Ln,Beverly Hills,7335511886,120639012207,DR.Ramesh,male,viralfever,ibuprofen,102
Theola,Frey,Woodbridge Free Public Library,54169 N Main St,Massapequa,7757286295,707691280115,DR.Rajesh,female,lupus,hydroxychloroquine,103
Cheryl,Haroldson,New York Life John Thune,92 Main St,Atlantic City,7192550431,415904093511,DR.Apuroop,female,cancer,Abemaciclib,100
Laticia,Merced,Alinabal Inc,72 Mannix Dr,Cincinnati,6591030432,684636246589,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Carissa,Batman,"Poletto, Kim David Esq",12270 Caton Center Dr,Eugene,6805423337,218977600078,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Lezlie,Craghead,"Chang, Carolyn Esq",749 W 18th St #45,Smithfield,9702926298,886323825296,DR.RaviKumar,male,heart attack,Thrombolytics,105
Ozell,Shealy,Silver Bros Inc,8 Industry Ln,New York,9845144365,306836422258,DR.RaviKumar,female,heart attack,Thrombolytics,106
Arminda,Parvis,Newtec Inc,1 Huntwood Ave,Phoenix,7542341217,636356589207,DR.Ramesh,male,cough&cold,Tessalon Perles,111
Reita,Leto,Creative Business Systems,55262 N French Rd,Indianapolis,7893419366,241363240713,DR.Ramesh,female,asthma,Budesonide,110
Yolando,Luczki,Dal Tile Corporation,422 E 21st St,Syracuse,8076133465,255783999565,DR.Ramesh,male,asthma,Budesonide,109
Lizette,Stem,Edward S Katz,501 N 19th Ave,Cherry Hill,9113234869,759198605671,DR.Ramesh,male,viralfever,ibuprofen,102
Gregoria,Pawlowicz,Oh My Goodknits Inc,455 N Main Ave,Garden City,8089951055,63172071069,DR.Rajesh,female,lupus,hydroxychloroquine,103
Carin,Deleo,"Redeker, Debbie",1844 Southern Blvd,Little Rock,8901696372,428266431859,DR.Apuroop,female,cancer,Abemaciclib,100
Chantell,Maynerich,Desert Sands Motel,2023 Greg St,Saint Paul,8467138195,630234215826,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Dierdre,Yum,Cummins Southern Plains Inc,63381 Jenks Ave,Philadelphia,7050233373,371111720958,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Larae,Gudroe,Lehigh Furn Divsn Lehigh,6651 Municipal Rd,Houma,9098764731,698723796297,DR.RaviKumar,male,heart attack,Thrombolytics,105
Latrice,Tolfree,United Van Lines Agent,81 Norris Ave #525,Ronkonkoma,9191734735,560964807689,DR.RaviKumar,female,heart attack,Thrombolytics,106
Kerry,Theodorov,Capitol Reporters,6916 W Main St,Sacramento,6890603814,534385932971,DR.Ramesh,male,cough&cold,Tessalon Perles,111
Dorthy,Hidvegi,Kwik Kopy Printing,9635 S Main St,Boise,9509976520,432258463137,DR.Ramesh,female,asthma,Budesonide,110
Fannie,Lungren,Centro Inc,17 Us Highway 111,Round Rock,8355574792,420949344053,DR.Ramesh,male,asthma,Budesonide,109
Evangelina,Radde,"Campbell, Jan Esq",992 Civic Center Dr,Philadelphia,6409937563,53207313543,DR.Ramesh,male,viralfever,ibuprofen,102
Novella,Degroot,"Evans, C Kelly Esq",303 N Radcliffe St,Hilo,7365249618,633979059329,DR.Rajesh,female,lupus,hydroxychloroquine,103
Clay,Hoa,Scat Enterprises,73 Saint Ann St #86,Reno,7726467265,134627685475,DR.Apuroop,female,cancer,Abemaciclib,100
Jennifer,Fallick,"Nagle, Daniel J Esq",44 58th St,Wheeling,6404693551,415851218828,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Irma,Wolfgramm,Serendiquity Bed & Breakfast,9745 W Main St,Randolph,9468948797,721457636088,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Eun,Coody,Ray Carolyne Realty,84 Bloomfield Ave,Spartanburg,8709146208,329145956119,DR.RaviKumar,male,heart attack,Thrombolytics,105
Sylvia,Cousey,"Berg, Charles E",287 Youngstown Warren Rd,Hampstead,6267107905,832622262810,DR.RaviKumar,female,heart attack,Thrombolytics,106
Nana,Wrinkles,"Ray, Milbern D",6 Van Buren St,Mount Vernon,7080748454,135665186342,DR.Ramesh,male,cough&cold,Tessalon Perles,111
Layla,Springe,Chadds Ford Winery,229 N Forty Driv,New York,7495174214,556497969428,DR.Ramesh,female,asthma,Budesonide,110
Joesph,Degonia,A R Packaging,2887 Knowlton St #5435,Berkeley,6037168619,199304656398,DR.Ramesh,male,asthma,Budesonide,109
Annabelle,Boord,Corn Popper,523 Marquette Ave,Concord,9454145184,646654917244,DR.Ramesh,male,viralfever,ibuprofen,102
Stephaine,Vinning,Birite Foodservice Distr,3717 Hamann Industrial Pky,San Francisco,7244985187,214524525566,DR.Rajesh,female,lupus,hydroxychloroquine,103
Nelida,Sawchuk,Anchorage Museum Of Hist & Art,3 State Route 35 S,Paramus,9898129195,754136798939,DR.Apuroop,female,cancer,Abemaciclib,100
Marguerita,Hiatt,"Haber, George D Md",82 N Highway 67,Oakley,8171721363,355636013578,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Carmela,Cookey,Royal Pontiac Olds Inc,9 Murfreesboro Rd,Chicago,9547829847,620205340103,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Junita,Brideau,Leonards Antiques Inc,6 S Broadway St,Cedar Grove,9400458313,790290252760,DR.RaviKumar,male,heart attack,Thrombolytics,105
Claribel,Varriano,Meca,6 Harry L Dr #6327,Perrysburg,6940239905,168678884260,DR.RaviKumar,female,heart attack,Thrombolytics,106
